280: 2.387550, 2.810532 avg, 0.000006 rate, 4.971989 seconds, 17920 images
281: 2.963440, 2.825822 avg, 0.000006 rate, 11.280799 seconds, 17984 images
282: 3.064277, 2.849668 avg, 0.000006 rate, 9.631470 seconds, 18048 images
283: 2.632684, 2.827969 avg, 0.000006 rate, 9.432336 seconds, 18112 images
284: 2.586375, 2.803810 avg, 0.000007 rate, 10.305131 seconds, 18176 images
285: 2.393968, 2.762826 avg, 0.000007 rate, 9.810001 seconds, 18240 images
286: 2.810339, 2.767577 avg, 0.000007 rate, 9.590852 seconds, 18304 images
287: 2.506391, 2.741458 avg, 0.000007 rate, 9.770094 seconds, 18368 images
288: 3.296151, 2.796928 avg, 0.000007 rate, 9.672755 seconds, 18432 images
289: 2.523594, 2.769594 avg, 0.000007 rate, 9.705482 seconds, 18496 images
290: 2.711249, 2.763760 avg, 0.000007 rate, 10.074043 seconds, 18560 images
291: 2.382583, 2.725642 avg, 0.000007 rate, 9.645210 seconds, 18624 images
292: 2.364609, 2.689539 avg, 0.000007 rate, 10.521597 seconds, 18688 images
293: 3.519546, 2.772540 avg, 0.000007 rate, 10.485271 seconds, 18752 images
294: 2.565736, 2.751859 avg, 0.000007 rate, 9.890188 seconds, 18816 images
295: 2.593935, 2.736067 avg, 0.000008 rate, 9.695324 seconds, 18880 images
296: 2.409448, 2.703405 avg, 0.000008 rate, 9.828307 seconds, 18944 images
297: 2.568688, 2.689933 avg, 0.000008 rate, 9.632881 seconds, 19008 images
298: 2.180613, 2.639001 avg, 0.000008 rate, 9.797917 seconds, 19072 images
299: 2.206220, 2.595723 avg, 0.000008 rate, 9.545512 seconds, 19136 images
300: 2.570741, 2.593225 avg, 0.000008 rate, 9.873159 seconds, 19200 images
301: 1.946024, 2.528505 avg, 0.000008 rate, 4.496550 seconds, 19264 images
302: 2.480013, 2.523656 avg, 0.000008 rate, 4.457833 seconds, 19328 images
303: 2.084187, 2.479709 avg, 0.000008 rate, 4.702965 seconds, 19392 images
304: 2.729752, 2.504713 avg, 0.000009 rate, 5.114662 seconds, 19456 images
305: 2.316715, 2.485913 avg, 0.000009 rate, 5.268396 seconds, 19520 images
306: 2.132723, 2.450594 avg, 0.000009 rate, 5.460772 seconds, 19584 images
307: 2.074125, 2.412947 avg, 0.000009 rate, 5.369091 seconds, 19648 images
308: 2.151489, 2.386801 avg, 0.000009 rate, 5.388948 seconds, 19712 images
309: 2.583641, 2.406485 avg, 0.000009 rate, 5.330635 seconds, 19776 images
310: 1.985758, 2.364412 avg, 0.000009 rate, 5.385515 seconds, 19840 images
311: 2.066059, 2.334577 avg, 0.000009 rate, 7.227956 seconds, 19904 images
312: 2.406461, 2.341765 avg, 0.000009 rate, 6.556560 seconds, 19968 images
313: 2.026200, 2.310209 avg, 0.000010 rate, 6.492107 seconds, 20032 images
314: 2.736168, 2.352805 avg, 0.000010 rate, 6.540665 seconds, 20096 images
315: 1.995303, 2.317055 avg, 0.000010 rate, 6.949593 seconds, 20160 images
316: 1.924626, 2.277812 avg, 0.000010 rate, 6.955464 seconds, 20224 images
317: 1.852679, 2.235298 avg, 0.000010 rate, 6.435003 seconds, 20288 images
318: 1.860152, 2.197784 avg, 0.000010 rate, 6.446024 seconds, 20352 images
319: 1.926853, 2.170691 avg, 0.000010 rate, 7.162242 seconds, 20416 images
320: 2.322699, 2.185892 avg, 0.000010 rate, 7.041125 seconds, 20480 images
321: 2.560972, 2.223400 avg, 0.000011 rate, 6.601067 seconds, 20544 images
322: 1.691621, 2.170222 avg, 0.000011 rate, 6.674857 seconds, 20608 images
323: 2.409048, 2.194104 avg, 0.000011 rate, 6.715919 seconds, 20672 images
324: 2.637445, 2.238439 avg, 0.000011 rate, 7.237988 seconds, 20736 images
325: 1.805536, 2.195148 avg, 0.000011 rate, 6.661937 seconds, 20800 images
326: 1.894802, 2.165114 avg, 0.000011 rate, 6.615689 seconds, 20864 images
327: 2.243805, 2.172983 avg, 0.000011 rate, 6.979333 seconds, 20928 images
328: 1.892982, 2.144983 avg, 0.000012 rate, 6.658850 seconds, 20992 images
329: 2.522243, 2.182709 avg, 0.000012 rate, 6.685059 seconds, 21056 images
330: 1.754952, 2.139933 avg, 0.000012 rate, 6.664117 seconds, 21120 images
331: 1.773247, 2.103265 avg, 0.000012 rate, 6.719251 seconds, 21184 images
